model,RMSE_log_mean,RMSE_log_std,MAE_log_mean,MAE_log_std,R2_log_mean,R2_log_std,mean_fit_time_sec,mean_score_time_sec,total_cv_runtime_sec
DummyRegressor,0.6779532946466329,0.006697538342496718,0.5197347511486428,0.007466200847441783,-0.001467023322828931,0.0010956519552339815,1.6137735366821289,0.08667054176330566,8.512159824371338
Ridge,0.5289219125368388,0.009044275883440454,0.39862139550754694,0.004754442450553113,0.3902573394488371,0.020562684912502908,1.7339816570281983,0.09199466705322265,9.140251159667969
Lasso,0.2798564010429662,0.014238192830223028,0.18835624800315764,0.0021609152261759298,0.8290626683983351,0.016236621633252124,4.301194143295288,0.09469757080078126,21.990463256835938
ElasticNet,0.2715000561744694,0.014881221436416589,0.1814858499036799,0.0023217688897364617,0.839079722646656,0.016460788752397072,11.600441503524781,0.08625144958496093,58.443106174468994
RandomForest,0.23151970905104718,0.009188024783751877,0.14992883297919082,0.0029538172150620767,0.8831043876132023,0.008348254057540458,8.636192989349365,0.13833351135253907,43.92029643058777
XGBoost,0.21726453833580975,0.009894325354742065,0.1487888847585257,0.0013990763648326675,0.8969746934108785,0.009440314709967881,2.432729196548462,0.11797308921813965,12.774564266204834
