model,CV_RMSE_log_mean,CV_RMSE_log_std,CV_MAE_log_mean,CV_MAE_log_std,CV_R2_log_mean,CV_R2_log_std,RMSE_AUD,MAE_AUD,R2_AUD,RMSE_AUD_as_pct_of_mean_test_price,RMSE_log,MAE_log,R2_log
XGBoost,0.21726453833580975,0.009894325354742065,0.1487888847585257,0.0013990763648326675,0.8969746934108785,0.009440314709967881,13700.54550563088,5070.005301370641,0.8419825931998727,36.89698631740447,0.1927770251453963,0.12993438048809317,0.9193321824341536
RandomForest,0.23151970905104718,0.009188024783751877,0.14992883297919082,0.0029538172150620767,0.8831043876132023,0.008348254057540458,16516.850386169717,5818.939506029314,0.7703408881068349,44.48158669701511,0.22722314415530898,0.14852170864797287,0.8879285762578205
ElasticNet,0.2715000561744694,0.014881221436416589,0.1814858499036799,0.0023217688897364617,0.839079722646656,0.016460788752397072,18324.286512606315,7187.468605071708,0.7173276309958778,49.34919915808863,0.2548623797011092,0.17517212838735213,0.8590058067362124
Lasso,0.2798564010429662,0.014238192830223028,0.18835624800315764,0.0021609152261759298,0.8290626683983351,0.016236621633252124,19396.014700825926,7686.278334441538,0.6832955099725435,52.235474035279715,0.2714892731903875,0.18882807018553022,0.8400091635703201
Ridge,0.5289219125368388,0.009044275883440454,0.39862139550754694,0.004754442450553113,0.3902573394488371,0.020562684912502908,32384.435223080454,15016.263059381658,0.11711961890054168,87.214634105757,0.5268120860825295,0.39490926193848586,0.3975774514006276
DummyRegressor,0.6779532946466329,0.006697538342496718,0.5197347511486428,0.007466200847441783,-0.001467023322828931,0.0010956519552339815,35300.43559568536,18472.29817201079,-0.04903345902922829,95.06772475863136,0.6789083771867414,0.5219250260964284,-0.0004884844040449199
