ablation_name,base_model,CV_RMSE_log_mean,CV_MAE_log_mean,CV_R2_log_mean,Test_RMSE_AUD,Test_MAE_AUD,Test_R2_AUD,elapsed_sec
Without Title,XGBoost,0.218684259059444,0.1492075981408238,0.8956041381856668,14163.893303113873,5769.615396428187,0.8311136676217704,33.95
Full pipeline,XGBoost,0.21726453833580975,0.1487888847585257,0.8969746934108785,14461.938040941779,5802.4938729994665,0.8239312810181735,36.97
Without Location,XGBoost,0.22043715110922668,0.1499903472756227,0.8938410669623703,14702.883196997123,5808.583052002173,0.8180155730068763,31.9
No engineered features,XGBoost,0.22656092418068274,0.15571855899760567,0.8879200039893874,15348.788294140431,6109.281015589882,0.8016750273092881,45.99
