model,tuning_folds,n_iter,best_cv_rmse_log,elapsed_sec,best_params
XGBoost,3,12,0.2052,92.55,"{'model__subsample': 0.8, 'model__reg_lambda': 0.5, 'model__n_estimators': 300, 'model__min_child_weight': 2, 'model__max_depth': 8, 'model__learning_rate': 0.07, 'model__colsample_bytree': 0.9}"
ElasticNet,3,8,0.2738,362.15,"{'model__l1_ratio': 0.65, 'model__alpha': 0.0003}"
